imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt1388903,Mirch,2010,22-Oct-10,Comedy | Drama | Fantasy,Javed Akhtar (lyrics) | Vinay Shukla (story),Vinay Shukla,0,1,Arunoday Singh , Boman Irani , Ila Arun , Konkona Sen Sharma
tt1391544,Dhoondte Reh Jaoge,2009,06-Mar-09,Comedy | Drama,Shabbir Ahmed (lyrics) | Rajeev Jhaveri (story) | Jalees Sherwani (lyrics) | Umesh Shukla (dialogues) | Umesh Shukla,Umesh Shukla,0,2,Paresh Rawal , Kunal Khemu , Sonu Sood , Soha Ali Khan
tt1391894,Siddharth: The Prisoner,2009,27-Feb-09,Crime | Drama | Thriller,Anadi (dialogue) | Pryas Gupta (dialogue) | Pryas Gupta (story) | Hitesh Kewalya (dialogue),Pryas Gupta,0,1,Rajat Kapoor , Sachin Nayak , Pradip Sagar , Pradeep Kabra
tt1392744,Chance Pe Dance,2010,15-Jan-10,Comedy | Drama | Romance,Nupur Asthana (screenplay) | Manu Rishi Chadha (additional dialogue) | Ken Ghosh (screenplay) | Kiran Kotrial (dialogues) | Irfan Siddiqui (lyrics),Ken Ghosh,0,2,Shahid Kapoor , Genelia D'Souza , Mohnish Bahl , Satish Shah
tt1395025,Agent Vinod,2012,23-Mar-12,Action,Arijit Biswas (story) | Sriram Raghavan (story),Sriram Raghavan,0,2,Kareena Kapoor , Saif Ali Khan , Adil Hussain , Gulshan Grover
tt1395054,Once Upon a Time in Mumbai,2010,30-Jul-10,Crime | Drama | Romance,Rajat Arora,Milan Luthria,0,6,Ajay Devgn , Randeep Hooda , Kangana Ranaut , Emraan Hashmi
tt1396208,Action Replayy,2010,05-Nov-10,Comedy | Drama | Romance,Irshad Kamil (lyrics) | Aatish Kapadia (dialogues) | Aatish Kapadia (story) | Suresh Nair (story) | Ritesh Shah (dialogues),Vipul Amrutlal Shah,0,2,Akshay Kumar , Aishwarya Rai Bachchan , Om Puri , Kiron Kher
tt1399602,Straight,2009,20-Mar-09,Comedy | Drama,Anahata (additional screenplay & dialogue) | Uttam Gada (dialogue & screenplay) | Uttam Gada (original story) | Rohena Gera (story) | Anahata Menon (dialogue & screenplay),Parvati Balagopalan,0,1,Vinay Pathak , Gul Panag , Anuj Chaudhary , Siddharth Makkar
tt1404573,Daddy Cool: Join the Fun,2009,28-Aug-09,Comedy | Drama,Farhad Bhiwandiwala (dialogue) | Aditya Dhar (lyrics) | Tushar Hiranandani (story) | Prashant Ingole (lyrics) | Komal Nahta (story) | Sajid (dialogues),K. Muralimohana Rao,0,2,Sunil Shetty , Aarti Chhabria , Aashish Chaudhary , Kim Sharma
tt1408029,Krantiveer: The Revolution,2010,25-Jun-10,Action | Crime | Drama,Amit Khan (dialogue) | Mehul Kumar (dialogue) | Mehul Kumar (screenplay) | Mehul Kumar (story) | Sameer (lyrics),Mehul Kumar,0,1,Jahan Bloch , Samir Aftab , Aditya Rajput , Harsh Rajput
