director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
P.A. Arun Prasad,Sudeep,Sonia Agarwal,Srinath,Romance,chandu,Sudeep Sonia Agarwal Srinath P.A. Arun Prasad Romance
Kedar Kapoor,Prem Nath,Bina Rai,Sheikh Mukhtar,Action Adventure History,changez khan,"Prem Nath Bina Rai Sheikh Mukhtar Kedar Kapoor Action, Adventure, History"
Chitraarth,Raj Babbar,Rama Vij,Kulbhushan Kharbanda,Drama,chann pardesee,Raj Babbar Rama Vij Kulbhushan Kharbanda Chitraarth Drama
Devender Kumar Pandey,Kanchan Awasthi,Abhijit Bhagat,Manoj Bhatt,History,chapekar brothers,Kanchan Awasthi Abhijit Bhagat Manoj Bhatt Devender Kumar Pandey History
Homi Wadia,Feroz Khan,Sayeeda Khan,Mukri,Adventure Fantasy,char dervesh,"Feroz Khan Sayeeda Khan Mukri Homi Wadia Adventure, Fantasy"
Krishan Chopra,Shashi Kapoor,Nanda,Manmohan Krishna,Drama Romance,char diwari,"Shashi Kapoor Nanda Manmohan Krishna Krishan Chopra Drama, Romance"
N.K. Ziree,Shyama,Kishore Kumar,Agha,Action Crime Drama,char paise,"Shyama Kishore Kumar Agha N.K. Ziree Action, Crime, Drama"
B.S. Thapa,Vikram Makandar,Om Prakash,Lakshmi,Drama Family,charandas,"Vikram Makandar Om Prakash Lakshmi B.S. Thapa Drama, Family"
Shyam Benegal,Lalu Ram,Madan Lal,Babu Das,Drama,charandas chor,Lalu Ram Madan Lal Babu Das Shyam Benegal Drama
K. Bapaiah,Asrani,Mithun Chakraborty,Prem Chopra,Action Drama Family,charanon ki saugandh,"Asrani Mithun Chakraborty Prem Chopra K. Bapaiah Action, Drama, Family"
Ramanand Sagar,Dharmendra,Hema Malini,Ajit,Action Drama Romance,charas,"Dharmendra Hema Malini Ajit Ramanand Sagar Action, Drama, Romance"
Tigmanshu Dhulia,Jimmy Sheirgill,Uday Chopra,Irrfan Khan,Action Crime Thriller,charas: a joint effort,"Jimmy Sheirgill Uday Chopra Irrfan Khan Tigmanshu Dhulia Action, Crime, Thriller"
Dev Anand,Dev Anand,Sanket Dhawan,Divya Dutta,Drama Thriller,chargesheet,"Dev Anand Sanket Dhawan Divya Dutta Dev Anand Drama, Thriller"
B.R. Ishara,Parveen Babi,Salim Aziz Durrani,Gautam Sarin,Drama,charitra,Parveen Babi Salim Aziz Durrani Gautam Sarin B.R. Ishara Drama
Shakti Samanta,Sharmila Tagore,Sanjeev Kumar,Yogeeta Bali,Drama Family,charitraheen,"Sharmila Tagore Sanjeev Kumar Yogeeta Bali Shakti Samanta Drama, Family"
Manish Srivastav,Naseeruddin Shah,Nishant Lal,Disha Arora,Thriller,charlie kay chakkar mein,Naseeruddin Shah Nishant Lal Disha Arora Manish Srivastav Thriller
Jag Mundhra,Anuj Saxena,Udita Goswami,Tarina Patel,Action Crime Drama,chase,"Anuj Saxena Udita Goswami Tarina Patel Jag Mundhra Action, Crime, Drama"
David Dhawan,Ali Zafar,Siddharth,Divyendu Sharma,Comedy Drama,chashme baddoor,"Ali Zafar Siddharth Divyendu Sharma David Dhawan Comedy, Drama"
Sai Paranjape,Farooq Shaikh,Deepti Naval,Saeed Jaffrey,Comedy Family Romance,chashme buddoor,"Farooq Shaikh Deepti Naval Saeed Jaffrey Sai Paranjape Comedy, Family, Romance"
V. Ravindra,Smita Patil,Raj Kiran,Reema Lagoo,Comedy,chatpati,Smita Patil Raj Kiran Reema Lagoo V. Ravindra Comedy
Kedar Kapoor,Vinod Mehra,Prem Nath,Yogeeta Bali,Action Crime,chattan singh,"Vinod Mehra Prem Nath Yogeeta Bali Kedar Kapoor Action, Crime"
Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher,Action Adventure Comedy,chatur singh two star,"Sanjay Dutt Ameesha Patel Anupam Kher Ajay Chandhok Action, Adventure, Comedy"
Raghubeer Singh,Muntazir Ahmad,Richa Dixit,Vivek Jha,Drama,chauhar,Muntazir Ahmad Richa Dixit Vivek Jha Raghubeer Singh Drama
Sadaqat Hussein,Jeetendra,Jackie Shroff,Jaya Prada,Action Crime Drama,chauraha,"Jeetendra Jackie Shroff Jaya Prada Sadaqat Hussein Action, Crime, Drama"
Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,Drama,chauranga,Sanjay Suri Tannishtha Chatterjee Riddhi Sen Bikas Ranjan Mishra Drama
Sagar Sarhadi,Sanjeev Giriwer,Nawazuddin Siddiqui,Amruta Subhash,Drama,chausar,Sanjeev Giriwer Nawazuddin Siddiqui Amruta Subhash Sagar Sarhadi Drama
R. Balki,Amitabh Bachchan,Tabu,Paresh Rawal,Comedy Drama Romance,cheeni kum,"Amitabh Bachchan Tabu Paresh Rawal R. Balki Comedy, Drama, Romance"
R.D. Mallik,Asrani,Sabyasachi Chakrabarty,Mahesh Manjrekar,Animation Family,cheenti cheenti bang bang,"Asrani Sabyasachi Chakrabarty Mahesh Manjrekar R.D. Mallik Animation, Family"
Harmesh Malhotra,Vikas Anand,Rakesh Bedi,Ashwini Bhave,Action Drama,cheetah,"Vikas Anand Rakesh Bedi Ashwini Bhave Harmesh Malhotra Action, Drama"
Raja Menon,Saif Ali Khan,Padmapriya,Svar Kamble,Comedy Drama Family,chef,"Saif Ali Khan Padmapriya Svar Kamble Raja Menon Comedy, Drama, Family"
Rohit Kaushik,Divya Dutta,Manisha Koirala,Jackie Shroff,Thriller,chehere: a modern day classic,Divya Dutta Manisha Koirala Jackie Shroff Rohit Kaushik Thriller
Gautam Adhikari,Ayub Khan,Madhoo,Varsha Usgaonkar,Drama,chehraa,Ayub Khan Madhoo Varsha Usgaonkar Gautam Adhikari Drama
Saurabh Shukla,Bipasha Basu,Dino Morea,Preeti Jhangiani,Thriller,chehraa,Bipasha Basu Dino Morea Preeti Jhangiani Saurabh Shukla Thriller
Raj Tilak,Sanjeev Kumar,Rekha,Vinod Mehra,Drama Horror Romance,chehre pe chehra,"Sanjeev Kumar Rekha Vinod Mehra Raj Tilak Drama, Horror, Romance"
Girish Karnad,Girish Karnad,Sonali Kulkarni,Prashant Rao,Drama,cheluvi,Girish Karnad Sonali Kulkarni Prashant Rao Girish Karnad Drama
Sai Kabir,Bharti Achrekar,Karanvir Bohra,Kavin Dave,Romance,chemistry,Bharti Achrekar Karanvir Bohra Kavin Dave Sai Kabir Romance
Ramu Kariat,Sathyan,Sheela,Madhu,Drama Romance,chemmeen,"Sathyan Sheela Madhu Ramu Kariat Drama, Romance"
Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj,Action Adventure Comedy,chennai express,"Deepika Padukone Shah Rukh Khan Sathyaraj Rohit Shetty Action, Adventure, Comedy"
B.R. Ishara,Anil Dhawan,Shatrughan Sinha,Rehana Sultan,Drama,chetna,Anil Dhawan Shatrughan Sinha Rehana Sultan B.R. Ishara Drama
Partho Ghosh,Jatin Grewal,Kiran Kumar,Navnit Ravi Rana,Thriller,chetna: the excitement,Jatin Grewal Kiran Kumar Navnit Ravi Rana Partho Ghosh Thriller
S.A. Chandrashekhar,Chiranjeevi,Madhavi,Lakshmi,Action Drama Crime,chettaniki kallu levu,"Chiranjeevi Madhavi Lakshmi S.A. Chandrashekhar Action, Drama, Crime"
Joy Mukherjee,Rajesh Khanna,Zeenat Aman,Asrani,Action Crime Romance,chhailla babu,"Rajesh Khanna Zeenat Aman Asrani Joy Mukherjee Action, Crime, Romance"
V.K. Naik,Priyadarshini,Nayana Apte,Master Bhagwan,Comedy,chhakke panje,Priyadarshini Nayana Apte Master Bhagwan V.K. Naik Comedy
Hansal Mehta,Kay Kay Menon,Jaya Seal,Naved Aslam,Action Crime Drama,chhal,"Kay Kay Menon Jaya Seal Naved Aslam Hansal Mehta Action, Crime, Drama"
Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub,Comedy Drama,chhalaang,"Rajkummar Rao Nushrat Bharucha Mohd. Zeeshan Ayyub Hansal Mehta Comedy, Drama"
Manmohan Desai,Raj Kapoor,Nutan,Pran,Musical Romance,chhalia,"Raj Kapoor Nutan Pran Manmohan Desai Musical, Romance"
Mukul Dutt,Navin Nischol,Nanda,Shatrughan Sinha,Action,chhalia,Navin Nischol Nanda Shatrughan Sinha Mukul Dutt Action
Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi,Biography Drama,chhapaak,"Deepika Padukone Vikrant Massey Madhurjeet Sarghi Meghna Gulzar Biography, Drama"
Sameer Joshi,Siddharth Menon,Vinay Pathak,Ayesha Raza,Drama,chhappad phaad ke,Siddharth Menon Vinay Pathak Ayesha Raza Sameer Joshi Drama
Bhalji Pendharkar,Parshwanath Yeshwant Altekar,Chandrakant,Gajanan Jagirdar,Drama History,chhatrapati shivaji,"Parshwanath Yeshwant Altekar Chandrakant Gajanan Jagirdar Bhalji Pendharkar Drama, History"
Hrishikesh Mukherjee,Sunil Dutt,Asha Parekh,Nirupa Roy,Drama Romance,chhaya,"Sunil Dutt Asha Parekh Nirupa Roy Hrishikesh Mukherjee Drama, Romance"
Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Comedy Drama,chhichhore,"Sushant Singh Rajput Shraddha Kapoor Varun Sharma Nitesh Tiwari Comedy, Drama"
Pramod Joshi,Muntazir Ahmad,Barkha Bisht,Balaji Iyer,Comedy Drama Family,chhodo kal ki baatein,"Muntazir Ahmad Barkha Bisht Balaji Iyer Pramod Joshi Comedy, Drama, Family"
Dilip Sood,Jimmy Sheirgill,Kim Sharma,Farid Amiri,Horror Thriller,chhodon naa yaar,"Jimmy Sheirgill Kim Sharma Farid Amiri Dilip Sood Horror, Thriller"
M. Sadiq,Shyama,Johnny Walker,Anita Guha,Comedy,chhoo mantar,Shyama Johnny Walker Anita Guha M. Sadiq Comedy
Rajesh Babbar,Aniruddh Dave,Rashmi Somvanshi,Satish Kaushik,Drama,chhorriyan chhoron se kam nahi hoti,Aniruddh Dave Rashmi Somvanshi Satish Kaushik Rajesh Babbar Drama
Kolli Pratyagatma,Rehman,Nutan,Master Mahesh Kumar,Comedy Drama,chhota bhai,"Rehman Nutan Master Mahesh Kumar Kolli Pratyagatma Comedy, Drama"
Rajiv Chilaka,Jigna Bhardwaj,Chutki,Kaustav Ghosh,Animation Adventure Fantasy,chhota bheem and the curse of damyaan,"Jigna Bhardwaj Chutki Kaustav Ghosh Rajiv Chilaka Animation, Adventure, Fantasy"
Rajiv Chilaka,Rupa Bhimani,Vivaan Bhimani,Parignya Pandya Shah,Animation,chhota bheem and the throne of bali,Rupa Bhimani Vivaan Bhimani Parignya Pandya Shah Rajiv Chilaka Animation
Rosauro Adorable,Jigna Bhardwaj,Rupa Bhimani,Sonal Kaushal,Animation,chhota bheem himalayan adventure,Jigna Bhardwaj Rupa Bhimani Sonal Kaushal Rosauro Adorable Animation
Rajiv Chilaka,Jigna Bhardwaj,Julie Tejwani,Rajesh Kava,Animation Adventure Fantasy,chhota bheem in the incan adventure,"Jigna Bhardwaj Julie Tejwani Rajesh Kava Rajiv Chilaka Animation, Adventure, Fantasy"
Rajiv Chilaka,Binayak Das,Urvi Ashar,Asif Ali Beig,Animation Action Adventure,chhota bheem kung fu dhamaka,"Binayak Das Urvi Ashar Asif Ali Beig Rajiv Chilaka Animation, Action, Adventure"
Jijo Punnoose,Urmila Matondkar,Dalip Tahil,Satish Kaushik,Adventure Comedy Family,chhota chetan,"Urmila Matondkar Dalip Tahil Satish Kaushik Jijo Punnoose Adventure, Comedy, Family"
Kalpataru,Asrani,Neelima Azim,Beena Banerjee,Drama,chhota sa ghar,Asrani Neelima Azim Beena Banerjee Kalpataru Drama
S.A. Akbar,Ameeta,Mehmood,Johnny Walker,Comedy Drama Romance,chhote nawab,"Ameeta Mehmood Johnny Walker S.A. Akbar Comedy, Drama, Romance"
K. Shankar,Shammi Kapoor,Sadhana,Shashikala,Crime Drama,chhote sarkar,"Shammi Kapoor Sadhana Shashikala K. Shankar Crime, Drama"
Vimal Kumar,Govinda,Shilpa Shetty Kundra,Aruna Irani,Comedy Romance Thriller,chhote sarkar,"Govinda Shilpa Shetty Kundra Aruna Irani Vimal Kumar Comedy, Romance, Thriller"
L.V. Prasad,Balraj Sahni,Shyama,Rehman,Drama,chhoti bahen,Balraj Sahni Shyama Rehman L.V. Prasad Drama
M.M. Baig,Vikas Anand,Beena Banerjee,Bindu,Drama Family,chhoti bahoo,"Vikas Anand Beena Banerjee Bindu M.M. Baig Drama, Family"
K.B. Tilak,Rajesh Khanna,Sharmila Tagore,Nirupa Roy,Drama Family,chhoti bahu,"Rajesh Khanna Sharmila Tagore Nirupa Roy K.B. Tilak Drama, Family"
Motilal,Motilal,Leela Mishra,Moti Sagar,Drama,chhoti chhoti baatein,Motilal Leela Mishra Moti Sagar Motilal Drama
Basu Chatterjee,Ashok Kumar,Vidya Sinha,Amol Palekar,Comedy Romance,chhoti si baat,"Ashok Kumar Vidya Sinha Amol Palekar Basu Chatterjee Comedy, Romance"
Alo Sarkar,Vyjayanthimala,Uttam Kumar,Rajendranath Malhotra,Drama Romance,chhoti si mulaqat,"Vyjayanthimala Uttam Kumar Rajendranath Malhotra Alo Sarkar Drama, Romance"
Vijay Anand,Dev Anand,Vijay Anand,Ajit,Action Thriller,chhupa rustam,"Dev Anand Vijay Anand Ajit Vijay Anand Action, Thriller"
Aziz Sejawal,Sanjay Kapoor,Mamta Kulkarni,Manisha Koirala,Drama Musical Romance,chhupa rustam: a musical thriller,"Sanjay Kapoor Mamta Kulkarni Manisha Koirala Aziz Sejawal Drama, Musical, Romance"
Pratik Mittal,Akshat Jain,Sanket Chauhan,Anshu Khatri,Adventure Drama Family,chhupam chhaai,"Akshat Jain Sanket Chauhan Anshu Khatri Pratik Mittal Adventure, Drama, Family"
Shekhar Sirrinn,Natalia Janoszek,Ashutosh Rana,Makrand Deshpande,Drama,chicken curry law,Natalia Janoszek Ashutosh Rana Makrand Deshpande Shekhar Sirrinn Drama
Harmage Singh Kalirai,Chris Bisson,Saeed Jaffrey,Sally Bankes,Comedy Drama Romance,chicken tikka masala,"Chris Bisson Saeed Jaffrey Sally Bankes Harmage Singh Kalirai Comedy, Drama, Romance"
Radheshyam Pipalwa,Chetan Sharma,Mayur More,Abhimanyu Singh,Comedy Drama Family,chidi balla,"Chetan Sharma Mayur More Abhimanyu Singh Radheshyam Pipalwa Comedy, Drama, Family"
Mehran Amrohi,Svar Kamble,Ayush Pathak,Vinay Pathak,Drama,chidiya,Svar Kamble Ayush Pathak Vinay Pathak Mehran Amrohi Drama
Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pawan Malhotra,Drama History War,children of war,"Farooq Shaikh Victor Banerjee Pawan Malhotra Mrityunjay Devvrat Drama, History, War"
Vikas Bahl,Nitesh Tiwari,Irfan Khan,Sanath Menon,Comedy Drama Family,children's party,"Nitesh Tiwari Irfan Khan Sanath Menon Vikas Bahl Comedy, Drama, Family"
Mahesh Kothare,Anand Abhyankar,Laxmikant Berde,Priya Arun Berde,Drama,chimanee pakhre,Anand Abhyankar Laxmikant Berde Priya Arun Berde Mahesh Kothare Drama
Rajkumar Santoshi,Om Puri,Naseeruddin Shah,Danny Denzongpa,Action Adventure Drama,china gate,"Om Puri Naseeruddin Shah Danny Denzongpa Rajkumar Santoshi Action, Adventure, Drama"
Shakti Samanta,Shammi Kapoor,Shakila,Helen,Comedy Crime Romance,china town,"Shammi Kapoor Shakila Helen Shakti Samanta Comedy, Crime, Romance"
Sharique Minhaj,Parveen Kaur,Faisal Khan,Shahbaaz Khan,Romance,chinar daastaan-e-ishq,Parveen Kaur Faisal Khan Shahbaaz Khan Sharique Minhaj Romance
Kalpana Lajmi,Sushmita Sen,Mithun Chakraborty,Anuj Sawhney,Drama,chingaari,Sushmita Sen Mithun Chakraborty Anuj Sawhney Kalpana Lajmi Drama
Ram Maheshwari,Leena Chandavarkar,Sanjay Khan,Pran,Drama,chingari,Leena Chandavarkar Sanjay Khan Pran Ram Maheshwari Drama
Kanmani,Sumanth,Charmy Kaur,Rahul Dev,Action Crime Drama,chinnodu,"Sumanth Charmy Kaur Rahul Dev Kanmani Action, Crime, Drama"
Ranjit Kapoor,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa,Comedy Drama,chintu ji,"Rishi Kapoor Priyanshu Chatterjee Kulraj Randhawa Ranjit Kapoor Comedy, Drama"
Devanshu Singh,Satyanshu Singh,Vinay Pathak,Tillotama Shome,Drama War,chintu ka birthday,"Satyanshu Singh Vinay Pathak Tillotama Shome Devanshu Singh Drama, War"
Priyanka,Gouri Ash,Rakesh Bedi,Neha Pal Chowdhury,Drama,chipku,Gouri Ash Rakesh Bedi Neha Pal Chowdhury Priyanka Drama
Safdar Rahman,Sunny Pawar,Mala Mukherjee,Surojit,Drama,chippa,Sunny Pawar Mala Mukherjee Surojit Safdar Rahman Drama
Raj Khosla,Sunil Dutt,Asha Parekh,Om Prakash,Drama Family Musical,chirag,"Sunil Dutt Asha Parekh Om Prakash Raj Khosla Drama, Family, Musical"
Devendra Goel,Rajendra Kumar,Meena Kumari,Mumtaz Begum,Drama Family,chirag kahan roshni kahan,"Rajendra Kumar Meena Kumari Mumtaz Begum Devendra Goel Drama, Family"
Tanvir Ahmed,Deepti Naval,Inayatullah Kantroo,Sulabha Deshpande,Drama,chirutha,Deepti Naval Inayatullah Kantroo Sulabha Deshpande Tanvir Ahmed Drama
Basu Chatterjee,Amol Palekar,Zarina Wahab,Vijayendra Ghatge,Drama Romance,chitchor,"Amol Palekar Zarina Wahab Vijayendra Ghatge Basu Chatterjee Drama, Romance"
Suneet Arora,Ravi Kishan,Rahul Singh,Sanjay Swaraj,Drama Mystery Thriller,chitkabrey,"Ravi Kishan Rahul Singh Sanjay Swaraj Suneet Arora Drama, Mystery, Thriller"
Kidar Nath Sharma,Ashok Kumar,Meena Kumari,Pradeep Kumar,Comedy Drama,chitralekha,"Ashok Kumar Meena Kumari Pradeep Kumar Kidar Nath Sharma Comedy, Drama"
Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale,Action Drama War,chittagong,"Manoj Bajpayee Barry John Delzad Hiwale Bedabrata Pain Action, Drama, War"
Vivek Agnihotri,Anil Kapoor,Sunil Shetty,Arshad Warsi,Crime Drama Mystery,chocolate: deep dark secrets,"Anil Kapoor Sunil Shetty Arshad Warsi Vivek Agnihotri Crime, Drama, Mystery"
Anurag Kashyap,Saiyami Kher,Roshan Mathew,Amruta Subhash,Drama,choked,Saiyami Kher Roshan Mathew Amruta Subhash Anurag Kashyap Drama
Virendra Saini,Puru Chibber,Pankaj Jha,Parikshit Sahni,Family,choo lenge akash,Puru Chibber Pankaj Jha Parikshit Sahni Virendra Saini Family
Ravindra Singh Rajawat,Ravi Jhanghu,Meghna Naidu,Chandrachur Singh,Drama,chooda ek pratha,Ravi Jhanghu Meghna Naidu Chandrachur Singh Ravindra Singh Rajawat Drama
Sachin Yardi,Abhay Deol,Mithila Palkar,Vijay Raaz,Comedy Drama,chopsticks,"Abhay Deol Mithila Palkar Vijay Raaz Sachin Yardi Comedy, Drama"
Pavan Kaul,Aditya Pancholi,Pooja Bhatt,Aruna Irani,Action Adventure Drama,chor aur chand,"Aditya Pancholi Pooja Bhatt Aruna Irani Pavan Kaul Action, Adventure, Drama"
Rajiv S. Ruia,Asrani,Kurush Deboo,Manoj Joshi,Comedy,chor bazaari,Asrani Kurush Deboo Manoj Joshi Rajiv S. Ruia Comedy
Prem Narayan Arora,Shammi Kapoor,Sumitra Devi,Chitra,Action Drama,chor bazar,"Shammi Kapoor Sumitra Devi Chitra Prem Narayan Arora Action, Drama"
Prem Prakash,Vijay Anand,Leena Chandavarkar,Trilok Kapoor,Crime Drama Thriller,chor chor,"Vijay Anand Leena Chandavarkar Trilok Kapoor Prem Prakash Crime, Drama, Thriller"
Rajesh. K.,Deepak Dobriyal,Priya Bathija,Anshul Kataria,Comedy Drama Thriller,chor chor super chor,"Deepak Dobriyal Priya Bathija Anshul Kataria Rajesh. K. Comedy, Drama, Thriller"
Ravi Tandon,Shatrughan Sinha,Reena Roy,Bindu,Action Crime Drama,chor ho to aisa,"Shatrughan Sinha Reena Roy Bindu Ravi Tandon Action, Crime, Drama"
Vijay Sadanah,Randhir Kapoor,Zeenat Aman,Ashok Kumar,Action Comedy Crime,chor ke ghar chor,"Randhir Kapoor Zeenat Aman Ashok Kumar Vijay Sadanah Action, Comedy, Crime"
David Dhawan,Bobby Deol,Om Puri,Paresh Rawal,Action Comedy Crime,chor machaaye shor,"Bobby Deol Om Puri Paresh Rawal David Dhawan Action, Comedy, Crime"
Ashok Roy,Shashi Kapoor,Mumtaz,Asrani,Action Musical Romance,chor machaye shor,"Shashi Kapoor Mumtaz Asrani Ashok Roy Action, Musical, Romance"
Kapil Kapoor,Naseeruddin Shah,Karan Shah,Neelam Kothari,Comedy Crime,chor pe mor,"Naseeruddin Shah Karan Shah Neelam Kothari Kapil Kapoor Comedy, Crime"
Amjad Khan,Shatrughan Sinha,Parveen Babi,Shakti Kapoor,Crime Action Drama,chor police,"Shatrughan Sinha Parveen Babi Shakti Kapoor Amjad Khan Crime, Action, Drama"
Prayag Raj,Shashi Kapoor,Vinod Khanna,Parveen Babi,Action Crime Drama,chor sipahee,"Shashi Kapoor Vinod Khanna Parveen Babi Prayag Raj Action, Crime, Drama"
Anant Thakur,Nargis,Raj Kapoor,Gope,Comedy Musical Romance,chori chori,"Nargis Raj Kapoor Gope Anant Thakur Comedy, Musical, Romance"
Milan Luthria,Ajay Devgn,Sonali Bendre,Rani Mukerji,Comedy Romance Musical,chori chori,"Ajay Devgn Sonali Bendre Rani Mukerji Milan Luthria Comedy, Romance, Musical"
Keval P. Kashyap,Sanjay Khan,Radha Saluja,Kamran,Action Drama,chori chori,"Sanjay Khan Radha Saluja Kamran Keval P. Kashyap Action, Drama"
Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Salman Khan,Rani Mukerji,Comedy Drama Musical,chori chori chupke chupke,"Mastan Alibhai Burmawalla Salman Khan Rani Mukerji Abbas Alibhai Burmawalla Comedy, Drama, Musical"
Brij,Ashok Kumar,Shashi Kapoor,Zeenat Aman,Comedy Musical Romance,chori mera kaam,"Ashok Kumar Shashi Kapoor Zeenat Aman Brij Comedy, Musical, Romance"
Jyoti Swaroop,Jeetendra,Neetu Singh,Shreeram Lagoo,Comedy Drama,chorni,"Jeetendra Neetu Singh Shreeram Lagoo Jyoti Swaroop Comedy, Drama"
Jayant Paranji,Mahesh Babu,Bipasha Basu,Rahul Dev,Action,choron ka chor,Mahesh Babu Bipasha Basu Rahul Dev Jayant Paranji Action
Harmesh Malhotra,Shatrughan Sinha,Neetu Singh,Ajit,Action,choron ki baaraat,Shatrughan Sinha Neetu Singh Ajit Harmesh Malhotra Action
Mrinal Sen,Utpal Dutt,Ajit Banerjee,Shekhar Chatterjee,Fantasy Drama,chorus,"Utpal Dutt Ajit Banerjee Shekhar Chatterjee Mrinal Sen Fantasy, Drama"
Nabh Kumar 'Raju',Ashutosh Rana,Sharad S. Kapoor,Nethra Raghuraman,Musical Action Crime,"chot [aaj isko, kal tereko]","Ashutosh Rana Sharad S. Kapoor Nethra Raghuraman Nabh Kumar 'Raju' Musical, Action, Crime"
Jose Punnoose,Sooraj Balaji,S.P. Balasubrahmanyam,Julian Carey,Fantasy,chota jadugar,Sooraj Balaji S.P. Balasubrahmanyam Julian Carey Jose Punnoose Fantasy
Kumud Chaudhary,Tulika Banerjee,Plabita Borthakur,Rajshri Deshpande,Drama,chote nawab,Tulika Banerjee Plabita Borthakur Rajshri Deshpande Kumud Chaudhary Drama
Sandeep Pandey,Prateek Pachauri,Rekha Mishra,Anudeep Singh,Comedy Drama,chousar firangi,"Prateek Pachauri Rekha Mishra Anudeep Singh Sandeep Pandey Comedy, Drama"
Shyam Ralhan,Sanjeev Kumar,Yogeeta Bali,Vinod Khanna,Drama,chowkidar,Sanjeev Kumar Yogeeta Bali Vinod Khanna Shyam Ralhan Drama
P. Chandrakumar,Kiran Kumar,Poonam Dasgupta,Anil Dhawan,Horror,chudail,Kiran Kumar Poonam Dasgupta Anil Dhawan P. Chandrakumar Horror
Surya Lakkoju,Preeti Soni,Amal Sherawat,Nidhi Bhardwaj,Horror Thriller,chudail story,"Preeti Soni Amal Sherawat Nidhi Bhardwaj Surya Lakkoju Horror, Thriller"
Satpal,Feroz Khan,Neetu Singh,Dharmendra,Action Thriller,chunaoti,"Feroz Khan Neetu Singh Dharmendra Satpal Action, Thriller"
Priyadarshan,Kookie Gulati,Shahid Kapoor,Kareena Kapoor,Comedy Drama Romance,chup chup ke,"Kookie Gulati Shahid Kapoor Kareena Kapoor Priyadarshan Comedy, Drama, Romance"
Hrishikesh Mukherjee,Dharmendra,Sharmila Tagore,Amitabh Bachchan,Comedy Drama Romance,chupke chupke,"Dharmendra Sharmila Tagore Amitabh Bachchan Hrishikesh Mukherjee Comedy, Drama, Romance"
Shona Urvashi,Zulfi Sayed,Masumeh Makhija,Rati Agnihotri,Comedy Musical Romance,chupke se,"Zulfi Sayed Masumeh Makhija Rati Agnihotri Shona Urvashi Comedy, Musical, Romance"
Ambrish Sangal,Jeetendra,Avinash Wadhawan,Somy Ali,Crime Mystery Thriller,chupp,"Jeetendra Avinash Wadhawan Somy Ali Ambrish Sangal Crime, Mystery, Thriller"
Sangeeth Sivan,Zayed Khan,Esha Deol,Gulshan Grover,Action Drama Mystery,chura liyaa hai tumne,"Zayed Khan Esha Deol Gulshan Grover Sangeeth Sivan Action, Drama, Mystery"
Kiran Nakti,Mangesh Desai,Vinit Bonde,Janardhan Parab,Fantasy,cinderella,Mangesh Desai Vinit Bonde Janardhan Parab Kiran Nakti Fantasy
Krishna Shah,Amitabh Bachchan,Zeenat Aman,Dharmendra,Documentary,cinema cinema,Amitabh Bachchan Zeenat Aman Dharmendra Krishna Shah Documentary
Noshir Engineer,Fearless Nadia,John Cawas,Sheila Kashmiri,Action,circus queen,Fearless Nadia John Cawas Sheila Kashmiri Noshir Engineer Action
Hansal Mehta,Rajkummar Rao,Patralekhaa Paul,Manav Kaul,Drama Thriller,city lights,"Rajkummar Rao Patralekhaa Paul Manav Kaul Hansal Mehta Drama, Thriller"
Mahesh Manjrekar,Sachin Khedekar,Seema Biswas,Ankush Chaudhari,Crime Drama,city of gold - mumbai 1982: ek ankahee kahani,"Sachin Khedekar Seema Biswas Ankush Chaudhari Mahesh Manjrekar Crime, Drama"
Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta,Action Crime Drama,class of '83,"Bobby Deol Anup Soni Joy Sengupta Atul Sabharwal Action, Crime, Drama"
Babbar Subhash,Mithun Chakraborty,Meghna Naidu,Vikas Bhardwaj,Drama,classic dance of love,Mithun Chakraborty Meghna Naidu Vikas Bhardwaj Babbar Subhash Drama
Manoj Kumar,Manoj Kumar,Ashok Kumar,Rajendra Kumar,Action Crime Drama,clerk,"Manoj Kumar Ashok Kumar Rajendra Kumar Manoj Kumar Action, Crime, Drama"
Sangeeth Sivan,Shreyas Talpade,Sada,Sneha Ullal,Drama Horror Mystery,click,"Shreyas Talpade Sada Sneha Ullal Sangeeth Sivan Drama, Horror, Mystery"
Sanjay Tripathy,Farooq Shaikh,Sarika,Raghuvir Yadav,Drama,club 60,Farooq Shaikh Sarika Raghuvir Yadav Sanjay Tripathy Drama
B. Prasad,Rajbeer Singh,Nish,Ajaz Khan,Action Musical Thriller,club dancer,"Rajbeer Singh Nish Ajaz Khan B. Prasad Action, Musical, Thriller"
